cityid,total
1047,107048
1048,130325
1049,106845
1050,254960
1051,159471
1052,69038
1053,82770
1054,59194
1093,60807
1055,74592
1056,73394
1057,9804
1058,41302
1059,272
1060,43164
1061,70518
1062,44635
1063,17001
1064,93364
1065,64995
1066,87793
1067,15481
1068,24161
1069,33562
1070,11562
1071,71556
1072,64878
1073,77916
1074,43664
1075,20571
1076,34819
1077,90279
1078,51877
1079,88656
1080,171589
1081,132067
1082,461086
1083,50339
1084,53362
1085,85384
1086,112632
1087,108048
1088,83109
1089,87164
1090,5870
1091,39816
1092,17639
1094,20087
1095,9857
1096,32863
1097,33865
1098,22560
1099,10561
1100,411
1101,20301
1102,56721
1103,40735
1116,18269
1104,25918
1105,10
1106,10
1107,298
1108,9690
1109,15986
1110,10
1111,12140
1112,32796
1113,7295
1114,10761
1115,37606
1117,35747
1118,102573
1119,10761
1120,313953
1121,7807
1122,14563
1123,750
1124,3836
1125,13402
1126,11872
1127,9094
1128,40167
1129,26123
1130,15331
1131,112234
1132,59234
1133,78300
1134,458997
1135,165412
1136,44912
1137,59574
1138,92617
1139,17078
1140,62255
1141,16662
1142,91867
1143,17586
1144,14168
1145,7667
1146,296837
1166,98071
1147,339554
1148,344799
1149,173819
1150,110642
1151,14638
1152,19798
1153,929682
1154,132866
1155,66998
1156,238341
1157,438667
1158,2654
1159,157829
1160,58314
1161,21181
1162,20577
1163,12924
1164,8116
1165,208689
1167,96038
1168,173894
1169,179237
1170,124332
1171,78302
1172,425717
1173,129544
1174,12169
1175,97397
1176,21971
1178,4196
1179,5360
1180,107
1181,23632
1182,701
1183,20996
1184,35459
1185,30883
1186,22148
1187,55865
1188,44176
1189,34994
1190,73619
1191,305334
1192,7786
1193,186827
1194,400629
1195,3839
1196,18056
1197,10
1198,8144
1199,49275
1200,24663
1201,2229
1202,175035
1203,59314
1204,32168
1205,179035
1206,164744
1207,99962
1208,67361
1209,471020
1329,24317
1210,110439
1211,843678
1212,63411
1213,88966
1214,167438
1215,107020
1216,128727
1217,233097
1218,368479
1219,415000
1377,20
1220,104942
1221,289201
1222,424787
1223,77491
1224,56578
1225,16981
1226,2000
1227,5122
1228,23933
1229,51982
1230,24617
1231,14294
1232,91848
1233,18025
1234,120072
1235,177802
1236,111770
1237,6777
1238,217619
1239,15365
3733,17457
1241,23688
1242,139724
1243,181722
1244,122344
1245,85110
1246,89949
1247,297532
1248,121831
1249,17059
1250,27082
1251,22035
1252,123170
1253,15589
1254,520704
1255,65781
1256,47225
1257,94912
1258,297628
1259,21675
1260,12164
1261,37676
1262,57445
1263,25431
1264,34973
1265,311740
1266,588462
1267,882381
1268,562998
1269,1157802
1270,330643
1271,284968
1272,242213
1273,163338
1274,49786
1275,239885
1276,189365
1277,51593
1436,171007
1278,156082
1279,51478
1280,309093
1281,174935
1282,97452
1283,99973
1284,274932
1285,79230
1286,97829
1287,31038
1288,10000
1289,109696
1290,851802
1291,653824
1292,92008
1293,509390
1294,71198
1295,6618
1296,152194
1297,126058
1298,303341
1299,254370
1300,456356
1301,391584
1302,417356
1303,191757
1304,303218
1305,881964
1306,270581
1307,962656
2754,201
1308,539715
1309,202348
1310,174581
1311,752872
1312,236199
1313,84796
1314,46704
1315,27227
1316,330000
1317,407849
1318,68514
1319,329862
1320,355553
1321,42849
1322,18831
1323,40128
1324,135128
1325,23776
1326,39954
1327,181402
1328,60955
1330,277672
1331,53206
1332,52680
1333,57457
1334,66427
1335,329172
1336,124437
1337,437803
1448,54300
1338,313791
1339,1372026
1466,18156
1340,337931
1341,558809
1342,579399
1343,302581
1344,69623
1345,59285
1346,12303
1347,42507
1348,22201
1468,64218
1349,132812
1350,138651
1351,2070
1352,2782
1353,173503
1354,197340
1355,250521
1356,317245
1357,423039
1358,190855
1359,146787
1360,60726
1361,27359
1362,1576614
1363,177684
1364,69033
1365,52999
1366,85384
1367,178330
1368,89268
1369,145309
1370,128663
1371,53480
1372,185866
1373,144193
1374,55609
1375,124193
1376,358
1378,11941
1379,2370
1380,10733
1381,5134
1382,243950
1383,49257
1384,399043
1385,25761
1386,73733
2786,871
1387,13323
1388,8654
1389,16818
1390,2293
1391,8520
1392,38385
1393,11308
1394,22843
1395,13060
1396,78595
1515,19935
1397,270521
1398,6529
1399,22353
1400,3494
1401,11603
1402,60746
1403,19569
1404,6934
1405,25185
1406,381
1407,75275
1408,24155
1409,320881
1410,97529
1411,66647
1412,56095
1413,48712
1414,181142
1415,26751
1416,196504
1417,20234
1418,71526
1419,19024
1420,124429
1421,125304
1422,172215
1423,132587
1424,251958
1425,192448
1426,338605
1427,122341
1428,176573
1429,355013
1430,577307
1431,98994
1432,331798
1433,16421
1434,221315
1435,200312
1437,158142
1438,553948
1439,126882
1440,164435
1441,131008
1442,161555
1443,306409
1444,330511
1445,198612
1446,242920
1447,349706
1449,32944
1450,42285
1451,284830
1452,59678
1453,96704
1454,30217
1455,30330
1467,21253
1456,22347
1457,41521
1458,58512
1459,6798
1460,203157
1461,45831
1462,10855
1463,21301
1464,25762
1465,75047
1469,16762
1470,37412
1471,60414
1472,102518
1473,70233
1474,47518
1475,25185
1476,27211
1477,101629
1505,49145
1478,125499
1479,43380
1480,68732
1481,76729
1482,85137
1483,102926
1484,46077
1485,26797
1486,21049
1487,63978
1488,79911
1489,22174
1490,242088
1491,85274
1492,87312
1493,466661
1494,18462
1495,21826
1496,21673
1497,47167
1498,41850
1499,28597
1500,61871
1501,30882
1502,109869
1503,27799
1504,65013
1506,85366
1507,28898
1508,29795
1509,91204
1510,135071
1511,472180
1512,123382
1513,44302
1514,102577
1516,41602
1517,38418
1518,53794
1519,33551
1520,46125
1521,286326
1522,81164
1523,42199
1524,128804
1535,32085
1525,79760
1526,32532
1527,31196
1528,57156
1529,40180
1530,27795
1531,33614
1532,148440
